datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
8/24/2021 0:00,5,1014.71,0,17.14,35.76,6.44,59.59,66.81,5.95,28.1,80,24.3,0,976.6,6.2,170,0
8/24/2021 1:00,5,1054.76,0.01,19.36,32.19,6.68,66.96,74.88,6.08,27.8,83,24.7,0,976.4,6.5,180,0
8/24/2021 2:00,5,1295.09,1.4,30.16,22.89,8.7,79.88,89.9,7.73,27.4,87,25,0,976.2,5.4,180,0
8/24/2021 3:00,5,1682.28,9.16,41.13,28.25,12.99,98.91,111.25,9.75,27.1,89,25.2,0,976.2,5.8,184,0
8/24/2021 4:00,5,1321.79,4.81,32.56,91.55,27.9,89.59,97.95,7.28,26.9,91,25.2,0,976.1,6.1,183,0
8/24/2021 5:00,5,1308.44,3.3,29.13,154.5,39.58,99.4,107,7.28,27,91,25.4,0,975.8,7,168,0
8/24/2021 6:00,5,1441.96,1.84,25.36,257.49,51.02,130.83,139.12,7.92,27.6,88,25.5,0,976.2,7.3,171,5
8/24/2021 7:00,5,1228.33,0.8,13.88,297.55,43.39,127.84,135.79,6.27,28.9,82,25.5,0,976.5,5.6,165,91
8/24/2021 8:00,5,1028.06,0.57,10.11,291.82,32.9,114.44,123.03,6.02,30.9,73,25.5,0,976.7,5.4,143,273
8/24/2021 9:00,5,961.3,0.53,10.2,286.1,29.09,107.01,116.34,6.4,32.7,63,24.9,0,977,4.3,185,471
8/24/2021 10:00,5,881.2,0.52,11.14,263.21,25.51,96.82,107.17,6.78,34.3,55,24,0,977.1,3.1,225,639
8/24/2021 11:00,5,854.49,0.51,13.37,237.47,23.6,88.67,100.28,7.6,35.4,51,23.6,0,976.6,2.6,236,717
8/24/2021 12:00,5,881.2,0.4,17.82,208.86,23.13,82.7,96.55,8.61,36.5,46,23.2,0,976,4.1,232,773
8/24/2021 13:00,5,1148.22,0.2,36.33,165.94,22.65,85.38,101.65,11.78,37.6,42,22.6,0,975.3,6,237,752
8/24/2021 14:00,5,1495.36,0.01,52.09,115.87,20.98,89.18,107.07,15.83,37.9,40,22.1,0,974.4,5.7,235,664
8/24/2021 15:00,5,1428.6,0,46.61,82.25,15.97,85.61,104.39,19.25,38.1,39,21.7,0,973.5,5.2,236,572
8/24/2021 16:00,5,1068.12,0,28.1,69.38,8.94,77.34,94.34,20.77,38.1,38,21.4,0,972.9,6.9,231,445
8/24/2021 17:00,5,947.95,0,21.42,64.37,6.44,73.3,88.73,21.28,36.5,44,22.2,0,973.5,5.4,250,274
8/24/2021 18:00,5,934.6,0,20.74,60.08,6.14,71.46,86.27,21.28,35.3,53,24.3,0,973.2,2.3,231,115
8/24/2021 19:00,5,894.55,0,19.02,57.94,5.78,68.06,82.45,20.01,33.2,57,23.5,0,973.4,4.4,99,11
8/24/2021 20:00,5,827.79,0,15.08,58.65,5.07,66.12,80.12,18.24,31.8,69,25.3,0,973.7,14,91,0
8/24/2021 21:00,5,787.74,0,12.34,57.94,5.19,67.57,81.4,15.71,31.1,72,25.4,0,974.1,13.7,113,0
8/24/2021 22:00,5,787.74,0,11.82,52.21,8.58,73.35,87.84,12.54,30.7,74,25.5,0,974.5,12.4,126,0
8/24/2021 23:00,5,794.41,0,12.68,44.7,11.68,80.27,96.08,10.51,30.3,74,25.3,0,974.6,11.7,135,0
8/25/2021 0:00,5,814.44,0,14.05,38.98,11.8,83.97,100.96,9.63,30,76,25.2,0,974.4,11.5,141,0
8/25/2021 1:00,5,867.84,0,16.62,34.33,10.49,85.76,104.05,10.01,29.7,77,25.2,0,974.1,11.8,153,0
8/25/2021 2:00,5,1054.76,1.08,25.71,27.54,11.21,86.08,111.21,12.67,29.4,77,25,0,973.6,12.1,163,0
8/25/2021 3:00,5,1295.09,7.15,32.56,31.47,15.14,84.35,131.86,16.21,29.3,77,24.9,0,973.3,11.5,160,0
8/25/2021 4:00,5,1295.09,8.83,33.24,55.79,22.17,83.03,186.19,18.75,29.2,78,24.9,0,973.2,10.6,156,0
8/25/2021 5:00,5,1348.5,7.15,36.33,104.43,29.56,96.28,278.91,20.27,28.6,82,25.1,0,973.3,8.9,148,0
8/25/2021 6:00,5,1295.09,3.35,29.47,203.13,36.24,128.79,406.7,19.76,28.7,81,25.2,0,973.6,10.3,151,5
8/25/2021 7:00,5,787.74,0.86,13.02,214.58,27.18,120.98,427.1,11.91,29.7,76,25.1,0,973.7,9.5,151,99
8/25/2021 8:00,5,554.09,0.64,9.17,185.97,20.98,97.8,357.36,7.54,31.5,68,24.8,0,974.1,6.9,171,279
8/25/2021 9:00,5,514.03,0.63,9.77,175.95,20.98,89.82,322.48,6.46,33.6,56,23.7,0,974.5,7.4,203,473
8/25/2021 10:00,5,514.03,0.63,10.97,170.23,21.22,86.07,305.21,6.08,35.6,46,22.3,0,974.7,9.1,236,645
8/25/2021 11:00,5,520.71,0.62,12.68,161.65,20.98,85.1,303.92,5.95,37.2,40,21.3,0,974.2,8.9,249,772
8/25/2021 12:00,5,540.73,0.51,16.28,147.34,21.22,88.98,328.03,6.14,38.1,37,21.1,0,973.4,7.7,242,845
8/25/2021 13:00,5,947.95,0.42,44.55,103,21.22,96.92,355.9,9.12,38.7,36,20.8,0,972.6,7.7,233,841
8/25/2021 14:00,5,1548.77,0.02,78.83,49.35,20.74,104.84,373.95,14.06,39,34,20.4,0,971.8,7.7,233,716
8/25/2021 15:00,5,1842.5,0.16,91.85,18.95,19.55,108.94,373.38,18.49,39,34,20.3,0,970.9,9.2,231,572
8/25/2021 16:00,5,1735.69,0.45,80.2,10.28,16.69,106.58,355.85,22.04,38.9,34,20.3,0,970.3,10.6,235,454
8/25/2021 17:00,5,1522.06,0.45,63.75,9.84,13.71,100.16,330.82,23.31,37.8,39,21.5,0,971.2,8.7,232,277
8/25/2021 18:00,5,1321.79,0.38,52.09,10.55,11.8,93.04,312.9,22.29,36.6,43,22,0,970.9,6.9,219,108
8/25/2021 19:00,5,1161.58,0.44,44.55,10.64,9.78,86.81,300.41,19.76,34.7,49,22.4,0,970.8,5.4,188,9
8/25/2021 20:00,5,1028.06,0.36,37.36,10.01,7.87,83.36,291.76,19,33.2,56,23.1,0,971,6.5,174,0
8/25/2021 21:00,5,894.55,0.19,29.13,11.27,6.68,81.65,285.8,20.01,32.4,57,22.9,0,971.3,5.6,165,0
8/25/2021 22:00,5,807.76,0.18,24.68,10.82,6.2,81.31,283.51,21.03,31.7,60,23,0,971.3,5.9,166,0
