datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
24/08/2021 00:00:00,5,1335.14,0.01,35.3,22.53,7.09,73.41,96.58,40.03,29.4,59,20.6,0.0,961.5,7.6,25,0
24/08/2021 01:00:00,5,1388.55,0.04,37.36,19.31,7.51,75.48,98.54,39.52,29.1,61,20.8,0.0,961.9,7.4,14,2
24/08/2021 02:00:00,5,1762.39,8.05,45.24,4.43,6.56,79.92,104.62,27.61,29.6,59,20.8,0.0,962.4,7.1,15,88
24/08/2021 03:00:00,5,2510.07,37.55,47.3,5.99,6.68,87.58,114.03,21.28,30.8,55,20.7,0.0,962.5,7.1,30,281
24/08/2021 04:00:00,5,1001.36,1.62,17.48,110.15,10.25,63.44,80.21,14.31,32.1,52,21.0,0.0,962.9,7.9,47,484
24/08/2021 05:00:00,5,894.55,0.94,9.85,148.77,8.46,65.86,82.83,13.43,33.5,48,21.0,0.0,962.9,6.4,63,662
24/08/2021 06:00:00,5,867.84,0.54,6.26,181.68,7.75,71.88,89.39,13.05,35.1,43,20.7,0.0,962.2,4.5,61,798
24/08/2021 07:00:00,5,787.74,0.36,4.37,188.83,6.68,74.47,92.37,12.16,36.5,39,20.3,0.0,961.4,4.3,90,882
24/08/2021 08:00:00,5,747.68,0.32,3.94,191.69,5.96,75.19,93.32,11.27,37.6,36,20.0,0.0,960.5,8.3,90,900
24/08/2021 09:00:00,5,747.68,0.3,4.11,200.27,5.84,77.56,95.64,11.15,38.6,33,19.5,0.0,959.5,9.4,92,851
24/08/2021 10:00:00,5,761.03,0.29,4.58,208.86,5.84,80.44,98.57,11.27,39.2,31,19.0,0.0,958.6,9.1,81,745
24/08/2021 11:00:00,5,781.06,0.27,5.4,208.86,5.9,82.51,100.69,11.78,39.7,30,18.9,0.0,957.7,10.4,76,588
24/08/2021 12:00:00,5,774.38,0.22,6.6,194.55,5.54,79.39,97.23,12.41,40.0,28,18.1,0.0,957.5,13.3,87,397
24/08/2021 13:00:00,5,847.82,0.16,14.22,157.36,5.25,76.5,94.32,13.68,39.4,29,18.1,0.0,957.5,15.6,82,191
24/08/2021 14:00:00,5,974.66,0.02,22.96,121.59,5.36,77.49,95.73,15.2,37.9,32,18.4,0.0,958.0,16.9,63,29
24/08/2021 15:00:00,5,1094.82,0.0,27.76,101.57,5.54,80.42,99.54,16.47,36.4,38,19.8,0.0,958.8,18.6,58,0
24/08/2021 16:00:00,5,1335.14,0.0,40.1,71.53,5.42,86.64,107.88,19.0,35.8,39,19.7,0.0,959.3,12.5,46,0
24/08/2021 17:00:00,5,1615.52,0.0,54.15,41.49,5.25,94.04,118.63,21.53,35.3,41,20.1,0.0,959.5,8.7,17,0
24/08/2021 18:00:00,5,1869.2,0.14,66.49,18.77,5.07,101.12,128.6,23.31,34.2,43,19.9,0.0,959.5,11.5,356,0
24/08/2021 19:00:00,5,2002.72,1.01,72.66,6.26,5.19,105.13,134.34,26.6,33.5,45,20.0,0.0,959.6,11.6,353,0
24/08/2021 20:00:00,5,2002.72,1.48,71.29,2.86,5.72,107.14,137.17,33.95,32.9,46,19.8,0.0,959.3,9.0,360,0
24/08/2021 21:00:00,5,1922.61,1.16,67.17,2.55,6.38,108.27,139.34,43.06,32.4,47,19.7,0.0,959.0,7.2,357,0
24/08/2021 22:00:00,5,1842.5,0.53,62.38,4.74,7.09,109.2,140.85,51.17,32.0,48,19.6,0.0,958.8,6.8,357,0
24/08/2021 23:00:00,5,1762.39,0.19,58.26,7.42,7.99,110.74,142.63,58.77,31.7,49,19.7,0.0,958.8,6.2,350,0
25/08/2021 00:00:00,5,1789.09,0.25,58.26,7.51,9.18,114.55,146.8,67.89,31.3,51,20.0,0.0,959.0,6.6,347,0
25/08/2021 01:00:00,5,1869.2,1.82,62.38,2.64,10.37,117.97,151.03,77.01,31.2,51,19.9,0.0,959.4,6.8,360,2
25/08/2021 02:00:00,5,2136.23,16.99,61.01,1.52,11.21,121.79,156.92,77.01,31.8,49,19.8,0.0,959.8,5.8,7,88
25/08/2021 03:00:00,5,2616.88,45.6,57.58,4.69,10.73,123.98,159.88,61.3,33.0,46,19.9,0.0,960.0,6.4,16,283
25/08/2021 04:00:00,5,854.49,1.12,14.22,108.72,7.09,73.88,89.66,13.55,34.4,42,19.7,0.0,960.3,7.1,24,486
25/08/2021 05:00:00,5,747.68,0.71,7.71,141.62,5.78,66.28,79.91,10.51,35.9,39,19.8,0.0,960.2,7.5,35,665
25/08/2021 06:00:00,5,727.65,0.45,4.84,167.37,5.54,65.93,79.37,9.88,37.3,34,18.8,0.0,959.8,8.4,47,803
25/08/2021 07:00:00,5,707.63,0.32,3.51,180.24,5.72,68.52,83.0,9.75,38.8,29,17.6,0.0,959.0,12.2,66,885
25/08/2021 08:00:00,5,707.63,0.29,3.43,185.97,5.72,71.52,87.2,9.88,40.0,25,16.3,0.0,958.2,14.2,83,904
25/08/2021 09:00:00,5,720.98,0.28,3.73,191.69,5.72,74.17,90.65,10.26,40.8,22,14.9,0.0,957.2,15.9,93,858
25/08/2021 10:00:00,5,727.65,0.28,4.41,197.41,5.78,76.27,93.54,10.39,41.0,22,15.1,0.0,956.2,16.7,96,753
25/08/2021 11:00:00,5,734.33,0.28,5.48,194.55,5.9,78.23,96.18,10.51,41.1,22,15.2,0.0,955.5,15.9,85,593
25/08/2021 12:00:00,5,741.01,0.22,7.2,188.83,5.9,79.35,97.29,10.51,41.1,22,15.2,0.0,955.2,17.0,77,396
25/08/2021 13:00:00,5,827.79,0.13,14.22,168.8,6.26,80.68,98.61,11.27,39.9,25,16.2,0.0,955.2,20.0,64,189
25/08/2021 14:00:00,5,947.95,0.01,22.28,140.19,6.68,82.09,102.55,12.92,37.6,31,17.6,0.0,955.7,20.2,51,26
25/08/2021 15:00:00,5,1041.41,0.0,26.39,115.87,6.74,81.97,105.84,14.57,36.9,33,18.0,0.0,956.4,12.0,39,0
25/08/2021 16:00:00,5,1281.74,0.0,40.1,77.25,6.2,85.86,113.26,17.73,36.3,35,18.4,0.0,957.0,5.6,15,0
25/08/2021 17:00:00,5,1575.47,0.0,55.52,40.05,5.6,91.6,122.83,21.03,35.7,37,18.8,0.0,957.0,5.4,356,0
25/08/2021 18:00:00,5,1842.5,0.53,68.55,13.05,5.19,96.99,131.88,23.05,35.0,38,18.6,0.0,956.7,7.4,346,0
25/08/2021 19:00:00,5,2002.72,3.69,72.66,1.65,5.13,99.27,136.1,25.84,34.5,39,18.6,0.0,956.5,7.4,346,0
25/08/2021 20:00:00,5,2002.72,5.64,69.92,0.45,5.54,99.89,138.17,32.93,34.1,40,18.6,0.0,956.2,8.0,8,0
25/08/2021 21:00:00,5,1922.61,4.69,66.49,0.51,6.14,100.32,140.04,41.54,33.5,42,18.9,0.0,955.9,7.8,22,0
25/08/2021 22:00:00,5,1762.39,1.93,61.69,2.19,6.8,100.17,140.93,48.13,33.0,43,18.8,0.0,956.0,7.0,35,0
25/08/2021 23:00:00,5,1602.17,0.5,53.47,4.65,6.91,99.45,140.73,50.16,32.4,46,19.3,0.0,956.2,5.9,52,0
26/08/2021 00:00:00,5,1508.71,0.63,45.24,4.2,6.38,99.53,141.22,46.61,31.9,46,18.9,0.0,956.7,4.3,48,0
26/08/2021 01:00:00,5,1455.31,2.21,38.39,1.88,4.77,98.6,138.44,31.16,31.7,48,19.4,0.0,957.5,3.7,29,2
26/08/2021 02:00:00,5,1588.82,12.74,34.27,1.24,4.23,97.57,134.0,22.8,32.3,45,18.9,0.0,958.1,4.5,29,87
26/08/2021 03:00:00,5,1842.5,26.6,36.67,6.26,5.01,94.31,125.3,19.76,33.2,43,19.0,0.0,958.5,6.6,41,282
26/08/2021 04:00:00,5,794.41,1.05,12.0,111.58,5.9,68.54,89.09,11.15,34.4,40,18.9,0.0,958.8,7.9,43,486
26/08/2021 05:00:00,5,741.01,0.64,7.11,154.5,6.56,71.93,96.72,9.75,35.7,37,18.8,0.0,958.7,8.2,49,666
26/08/2021 06:00:00,5,734.33,0.41,4.8,185.97,7.45,78.42,109.1,9.37,37.5,29,16.5,0.0,958.2,9.8,66,805
26/08/2021 07:00:00,5,707.63,0.3,3.64,197.41,7.45,82.01,117.19,8.87,39.0,23,14.1,0.0,957.7,10.5,82,893
26/08/2021 08:00:00,5,687.6,0.28,3.56,197.41,6.74,80.51,117.57,8.36,39.9,20,12.7,0.0,957.1,11.7,108,911
26/08/2021 09:00:00,5,680.92,0.27,3.98,200.27,6.26,78.49,116.59,8.11,40.5,19,12.4,0.0,956.3,12.9,117,864
26/08/2021 10:00:00,5,680.92,0.29,4.76,203.13,6.08,77.66,116.54,8.11,40.8,19,12.7,0.0,955.6,13.0,109,754
26/08/2021 11:00:00,5,694.28,0.29,5.83,200.27,6.14,78.4,117.86,8.49,40.9,20,13.6,0.0,955.0,12.4,98,592
26/08/2021 12:00:00,5,714.3,0.23,7.28,191.69,6.14,80.59,121.04,9.12,40.8,21,14.2,0.0,954.8,12.4,98,394
26/08/2021 13:00:00,5,854.49,0.14,14.91,167.37,6.74,88.66,131.44,11.15,40.3,22,14.5,0.0,955.0,14.1,103,186
26/08/2021 14:00:00,5,1001.36,0.01,21.25,137.33,7.27,99.85,148.29,13.68,38.4,25,14.9,0.0,955.6,16.3,84,25
26/08/2021 15:00:00,5,1068.12,0.0,23.65,114.44,7.21,107.04,163.67,15.71,37.0,28,15.5,0.0,956.5,17.1,68,0
26/08/2021 16:00:00,5,1121.52,0.0,26.73,100.14,6.68,112.07,177.31,17.48,36.3,30,16.0,0.0,957.1,10.4,44,0
26/08/2021 17:00:00,5,1241.68,0.0,31.87,84.4,6.32,115.83,188.23,19.51,35.6,31,15.9,0.0,957.4,8.9,21,0
26/08/2021 18:00:00,5,1361.85,0.0,38.73,67.95,6.08,117.62,194.37,21.03,34.5,34,16.4,0.0,957.3,11.3,7,0
26/08/2021 19:00:00,5,1401.9,0.0,41.13,55.79,5.42,117.07,194.9,21.28,33.6,36,16.5,0.0,957.3,11.3,353,0
26/08/2021 20:00:00,5,1268.39,0.0,31.87,57.22,4.65,112.08,187.68,20.52,32.7,39,17.0,0.0,957.3,11.7,349,0
26/08/2021 21:00:00,5,1054.76,0.0,19.36,66.52,4.65,105.71,179.35,19.76,31.8,42,17.3,0.0,957.5,13.0,360,0
26/08/2021 22:00:00,5,894.55,0.0,10.8,83.69,6.08,97.85,171.65,17.99,31.2,44,17.5,0.0,957.7,11.9,357,0
