datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
24/08/2021 00:00:00,5,567.44,0,21.25,78.68,5.25,31.87,124.83,19.76,21.5645,14.278222,-6.8355,0,834.5792,5.4833565,156.80138,0
24/08/2021 01:00:00,5,560.76,0,22.28,82.25,5.72,33.24,142.92,21.28,20.6145,15.4880705,-6.5355,0,834.5799,5.4833565,156.80138,0
24/08/2021 02:00:00,5,674.25,0.32,32.22,77.25,6.8,37.1,162.07,23.81,20.0645,16.902853,-5.8355,0,834.7882,5.00128,149.74365,43
24/08/2021 03:00:00,5,934.6,6.04,43.87,70.1,7.99,43.65,178.51,23.31,22.9145,13.613273,-6.3855,0,836.6907,2.9024127,150.2552,228
24/08/2021 04:00:00,5,507.36,3.02,16.11,111.58,5.01,40.51,173.86,6.21,25.3645,11.223586,-6.9855,0,838.199,1.1384199,18.435053,459
24/08/2021 05:00:00,5,447.27,2.54,10.88,125.89,3.99,46.5,209.57,3.9,27.2145,9.870295,-7.2355003,0,838.7219,5.1165614,309.28937,674
24/08/2021 06:00:00,5,370.5,1.44,6.17,140.19,2.74,60.61,299.98,2.63,28.8645,8.659118,-7.6855,0,838.9672,8.587338,303.02386,848
24/08/2021 07:00:00,5,240.33,0.24,1.16,143.05,0.95,45.98,215.82,0.66,30.0145,7.7049127,-8.3355,0,838.6226,9.793059,306.02747,960
24/08/2021 08:00:00,5,226.97,0.18,0.85,145.91,0.81,36.67,165.44,0.44,30.8145,7.274379,-8.4855,0,838.601,9.422101,313.4519,1003
24/08/2021 09:00:00,5,223.64,0.17,0.86,144.48,0.78,35.01,151.66,0.41,31.3645,7.022457,-8.5355,0,838.12085,9.957108,319.39877,971
24/08/2021 10:00:00,5,216.96,0.16,0.81,143.05,0.72,32.73,132.59,0.35,31.7145,6.938001,-8.4355,0,837.7084,10.703569,317.72638,869
24/08/2021 11:00:00,5,213.62,0.15,0.88,138.76,0.66,28.95,112.96,0.32,31.6645,7.14956,-8.0855,0,837.1834,12.819235,308.15726,706
24/08/2021 12:00:00,5,216.96,0.16,1.11,135.9,0.63,28.03,109.23,0.33,30.8645,8.79429,-5.9855,0,837.3747,13.089354,301.5042,495
24/08/2021 13:00:00,5,240.33,0.19,2.4,128.75,0.78,28.57,107.97,0.52,30.0145,9.482291,-5.6355,0,837.20575,11.592895,295.76926,262
24/08/2021 14:00:00,5,273.71,0.06,3.98,117.3,0.97,29.48,108.08,0.85,28.9645,10.345436,-5.2855,0,836.9347,9.504273,294.62354,63
24/08/2021 15:00:00,5,293.73,0,4.07,108.72,1.03,31.68,116.95,1.11,27.7645,11.4339905,-4.8855,0,836.75165,6.924738,278.97253,0
24/08/2021 16:00:00,5,423.91,0,12.17,87.98,1.91,35.7,124.49,4.18,26.8645,13.092387,-3.7855,0,836.88135,3.396233,237.99466,0
24/08/2021 17:00:00,5,600.82,0,22.28,70.1,3.16,40.17,134.56,8.74,27.0145,11.992674,-4.8355,0,837.1235,2.968636,165.96373,0
24/08/2021 18:00:00,5,727.65,0,30.16,60.8,4.17,43.92,144.36,12.79,23.9645,15.73086,-3.6355,0,835.40533,5.634891,153.43501,0
24/08/2021 19:00:00,5,774.38,0,35.64,57.94,4.77,45.45,151.39,15.96,22.6145,17.06709,-3.6355,0,834.5437,5.8048253,150.2552,0
24/08/2021 20:00:00,5,741.01,0,35.3,60.08,5.01,45.55,156.7,17.99,22.0145,17.504108,-3.7855,0,833.90094,5.1919937,146.3099,0
24/08/2021 21:00:00,5,667.57,0,30.5,65.8,5.07,45.13,161.49,19.25,20.5645,19.203125,-3.7354999,0,832.64764,5.95906,154.98314,0
24/08/2021 22:00:00,5,620.84,0,26.05,71.53,5.25,45.83,166.63,19.76,20.1145,19.597027,-3.8354998,0,832.2463,5.8048253,150.2552,0
24/08/2021 23:00:00,5,587.46,0,22.62,75.1,5.48,46.98,173.25,20.01,20.0145,19.57154,-3.9355001,0,832.2765,5.991594,147.26479,0
25/08/2021 00:00:00,5,560.76,0,20.39,78.68,5.6,47.93,177.82,20.01,21.3145,18.683685,-3.4854999,0,833.5367,4.8965297,143.97253,0
25/08/2021 01:00:00,5,547.41,0,20.05,75.82,5.54,48.39,180.09,17.48,20.5145,19.625637,-3.4854999,0,833.2016,4.8433046,138.01286,0
25/08/2021 02:00:00,5,660.9,0.36,28.1,62.23,5.96,50.29,184.23,15.2,19.4145,21.806355,-2.9854999,0,832.9546,4.8433046,138.01286,42
25/08/2021 03:00:00,5,934.6,7.04,37.7,51.5,6.8,54.5,189.05,12.92,22.2645,17.630459,-3.4854999,0,834.8602,2.7416782,113.19862,226
